"id","firstname","middlename","lastname","nickname","name","suffix","email","email_verified_at","password","two_factor_secret","two_factor_recovery_codes","remember_token","first_time_login","created_at","updated_at","profile_id"
"33","Supervisor",NULL,"Vendor II",NULL,"Vendor Supervisor II",NULL,"supervisor2@vendor.ph","2021-05-05 00:27:22","$2y$10$mlEX.LOjNKIbJ7etQ3GM8OnycPPN7vJdxiykpRKMPxcoBMDXSCKVW",NULL,NULL,NULL,"0","2021-05-05 00:27:22","2021-05-18 02:48:26","3"
"34","agent1_fn",NULL,"agent1_ln",NULL,"agent1_fn agent1_ln",NULL,"agent1@gmail.com","2021-05-19 20:57:59","$2y$10$5NZxeq9yeVyPtwTotmH.Gukf2rwFs44N4qapiY9iJ92uiICjf/YOK",NULL,NULL,NULL,"0",NULL,"2021-05-19 12:58:04","2"
"35","agent2_fn",NULL,"agent1_2n",NULL,"agent2_fn agent2_ln",NULL,"agent2@gmail.com","2021-05-19 20:57:59","$2y$10$5NZxeq9yeVyPtwTotmH.Gukf2rwFs44N4qapiY9iJ92uiICjf/YOK",NULL,NULL,NULL,"0",NULL,"2021-05-19 12:58:12","2"
"36","agent3_fn",NULL,"agent3_ln",NULL,"agent3_fn agent3_ln",NULL,"agent3@gmail.com","2021-05-19 20:57:59","$2y$10$5NZxeq9yeVyPtwTotmH.Gukf2rwFs44N4qapiY9iJ92uiICjf/YOK",NULL,NULL,NULL,"0",NULL,"2021-05-19 12:58:17","2"
"37","agent4_fn",NULL,"agent4_ln",NULL,"agent4_fn agent4_ln",NULL,"agent4@gmail.com","2021-05-19 20:57:59","$2y$10$5NZxeq9yeVyPtwTotmH.Gukf2rwFs44N4qapiY9iJ92uiICjf/YOK",NULL,NULL,NULL,"0",NULL,"2021-05-19 12:58:22","2"
"38","agent5_fn",NULL,"agent5_ln",NULL,"agent5_fn agent5_ln",NULL,"agent5@gmail.com","2021-05-19 20:57:59","$2y$10$5NZxeq9yeVyPtwTotmH.Gukf2rwFs44N4qapiY9iJ92uiICjf/YOK",NULL,NULL,NULL,"0",NULL,"2021-05-19 12:58:29","2"
"39","agent6_fn",NULL,"agent6_2n",NULL,"agent6_fn agent6_ln",NULL,"agent6@gmail.com","2021-05-19 20:57:59","$2y$10$5NZxeq9yeVyPtwTotmH.Gukf2rwFs44N4qapiY9iJ92uiICjf/YOK",NULL,NULL,NULL,"0",NULL,"2021-05-19 12:58:34","2"
"40","agent7_fn",NULL,"agent7_ln",NULL,"agent7_fn agent7_ln",NULL,"agent7@gmail.com","2021-05-19 20:57:59","$2y$10$5NZxeq9yeVyPtwTotmH.Gukf2rwFs44N4qapiY9iJ92uiICjf/YOK",NULL,NULL,NULL,"0",NULL,"2021-05-19 12:58:39","2"
"41","agent8_fn",NULL,"agent8_ln",NULL,"agent8_fn agent8_ln",NULL,"agent8@gmail.com","2021-05-19 20:57:59","$2y$10$5NZxeq9yeVyPtwTotmH.Gukf2rwFs44N4qapiY9iJ92uiICjf/YOK",NULL,NULL,NULL,"0",NULL,"2021-05-19 12:58:44","2"
"42","agent9_fn",NULL,"agent9_ln",NULL,"agent9_fn agent9_ln",NULL,"agent9@gmail.com","2021-05-19 20:57:59","$2y$10$5NZxeq9yeVyPtwTotmH.Gukf2rwFs44N4qapiY9iJ92uiICjf/YOK",NULL,NULL,NULL,"0",NULL,"2021-05-19 12:58:55","2"
"43","agent10_fn",NULL,"agent10_ln",NULL,"agent10_fn agent10_ln",NULL,"agent10@gmail.com","2021-05-19 20:57:59","$2y$10$5NZxeq9yeVyPtwTotmH.Gukf2rwFs44N4qapiY9iJ92uiICjf/YOK",NULL,NULL,NULL,"0",NULL,"2021-05-19 12:59:00","2"
"44","APMO",NULL,"Globe",NULL,"APMO Globe",NULL,"apmo@globe.com.ph","2021-05-05 00:27:22","$2y$10$fwbB.5h3jeqwSZPjJgK8NeOvuejfTTLIHfr9167qGnyvKD2byZYyi",NULL,NULL,NULL,"0","2021-05-05 00:27:22","2021-05-21 02:44:29","12"
"47","Vincent",NULL,"Guanzon",NULL,"Vincent Guanzon",NULL,"iamvincentguanzon122@gmail.com","2021-05-24 16:30:32","$2y$10$zyZrmPg/gFMCtz7lBeiV8uxnLtzg3c4JxS10OD4OZ9ixXoFReUUP6",NULL,NULL,NULL,"0","2021-05-24 16:30:32","2021-05-24 22:45:25","2"
"68","Marvin",NULL,"Esternon",NULL,"Marvin Esternon",NULL,"mrvnstrn@gmail.com","2021-05-25 21:43:42","$2y$10$5NZxeq9yeVyPtwTotmH.Gukf2rwFs44N4qapiY9iJ92uiICjf/YOK",NULL,NULL,NULL,"0","2021-05-25 21:43:42",NULL,"1"
"71","Marvin",NULL,"Esternon","test","Marvin Esternon","Jr","maesternon@absi.ph","2021-05-25 21:57:52","$2y$10$HegGXKsJEwMoqkwl21/ej.vi0K10ZYEgeNazN6WamJfJ47eBiuWs6",NULL,NULL,NULL,"0","2021-05-25 21:57:52","2021-05-26 01:00:40","2"
"72","aris","d","salvador","aroi","aris salvador","Sr","arhizsx@gmail.com","2021-05-25 23:39:27","$2y$10$X7Lxvu6MGxVTMveqMVcu9e82I7JmVDxzHwPUf2sesy.9Gtp.kT7rW",NULL,NULL,NULL,"0","2021-05-25 23:39:27","2021-05-25 23:53:27",NULL
